vendor_id,quarter,credit_risk_score_proxy,days_payable_outstanding,price_volatility_index
V0001,2022Q1,81.9,45.7,1.66
V0001,2022Q2,81.3,42.9,1.93
V0001,2022Q3,81.4,50.2,1.78
V0001,2022Q4,81.6,45.0,2.78
V0001,2023Q1,81.3,48.2,0.87
V0001,2023Q2,81.2,44.5,1.62
V0001,2023Q3,81.1,51.7,2.52
V0001,2023Q4,81.0,42.3,2.06
V0001,2024Q1,80.6,47.4,3.13
V0001,2024Q2,80.3,51.6,5.74
V0001,2024Q3,80.5,39.5,2.89
V0001,2024Q4,80.3,53.0,1.55
V0001,2025Q1,80.2,43.1,2.77
V0001,2025Q2,79.5,48.8,3.45
V0001,2025Q3,79.9,40.9,0.0
V0001,2025Q4,79.8,51.9,1.33
V0001,2026Q1,80.0,46.5,3.54
V0001,2026Q2,80.5,38.7,0.6
V0002,2022Q1,72.6,57.7,2.47
V0002,2022Q2,72.5,46.6,6.03
V0002,2022Q3,72.3,59.1,1.06
V0002,2022Q4,71.8,45.8,8.09
V0002,2023Q1,71.4,52.4,3.89
V0002,2023Q2,71.5,60.7,2.83
V0002,2023Q3,71.8,50.1,2.95
V0002,2023Q4,71.7,51.9,3.27
V0002,2024Q1,71.8,44.0,2.72
V0002,2024Q2,72.0,46.7,5.03
V0002,2024Q3,72.4,53.5,6.32
V0002,2024Q4,72.7,55.3,3.47
V0002,2025Q1,72.1,42.2,3.63
V0002,2025Q2,72.1,60.4,3.89
V0002,2025Q3,72.2,54.7,5.57
V0002,2025Q4,72.2,59.9,3.85
V0002,2026Q1,72.2,60.9,0.46
V0002,2026Q2,72.7,46.8,4.62
V0003,2022Q1,62.3,69.2,6.76
V0003,2022Q2,62.4,59.7,8.55
V0003,2022Q3,62.3,49.1,5.73
V0003,2022Q4,62.1,61.0,7.35
V0003,2023Q1,62.0,62.1,6.53
V0003,2023Q2,62.6,58.4,9.92
V0003,2023Q3,62.6,61.2,0.73
V0003,2023Q4,62.4,59.3,5.88
V0003,2024Q1,62.1,55.8,9.2
V0003,2024Q2,61.2,65.3,12.09
V0003,2024Q3,61.7,66.5,8.68
V0003,2024Q4,61.9,49.5,10.93
V0003,2025Q1,62.1,59.5,7.35
V0003,2025Q2,62.2,55.3,8.29
V0003,2025Q3,61.3,55.3,12.86
V0003,2025Q4,61.2,57.5,9.17
V0003,2026Q1,61.6,59.0,8.68
V0003,2026Q2,61.2,64.7,10.63
V0004,2022Q1,60.9,74.0,14.39
V0004,2022Q2,59.7,87.1,17.62
V0004,2022Q3,59.2,70.8,17.65
V0004,2022Q4,58.5,77.3,13.74
V0004,2023Q1,58.3,62.4,6.43
V0004,2023Q2,59.0,57.6,9.06
V0004,2023Q3,59.0,59.4,7.59
V0004,2023Q4,59.1,56.6,6.27
V0004,2024Q1,59.3,64.3,10.58
V0004,2024Q2,59.0,77.7,15.04
V0004,2024Q3,58.7,63.7,10.86
V0004,2024Q4,59.6,44.2,6.22
V0004,2025Q1,59.6,53.4,3.56
V0004,2025Q2,59.9,66.7,10.37
V0004,2025Q3,59.8,59.3,7.17
V0004,2025Q4,59.9,57.3,10.47
V0004,2026Q1,59.8,67.2,6.8
V0004,2026Q2,59.9,54.9,9.39
V0005,2022Q1,34.1,97.3,22.18
V0005,2022Q2,33.4,93.5,32.32
V0005,2022Q3,33.5,93.1,19.35
V0005,2022Q4,33.3,88.9,21.02
V0005,2023Q1,33.2,74.2,24.02
V0005,2023Q2,33.7,80.0,19.72
V0005,2023Q3,33.7,88.7,19.44
V0005,2023Q4,33.6,84.3,18.14
V0005,2024Q1,33.5,96.2,28.02
V0005,2024Q2,33.3,88.7,30.28
V0005,2024Q3,32.8,83.6,22.61
V0005,2024Q4,32.6,82.9,22.52
V0005,2025Q1,33.2,89.6,23.11
V0005,2025Q2,33.4,79.2,27.13
V0005,2025Q3,33.3,83.3,22.59
V0005,2025Q4,33.4,88.8,26.27
V0005,2026Q1,33.6,95.3,18.72
V0005,2026Q2,33.6,83.1,18.68
V0006,2022Q1,62.6,63.9,8.31
V0006,2022Q2,62.7,57.4,2.39
V0006,2022Q3,63.3,56.2,8.73
V0006,2022Q4,63.4,57.3,11.33
V0006,2023Q1,63.6,53.9,8.87
V0006,2023Q2,63.8,58.0,8.37
V0006,2023Q3,63.6,55.4,7.34
V0006,2023Q4,63.5,56.7,2.88
V0006,2024Q1,63.4,73.5,8.9
V0006,2024Q2,62.8,59.8,7.41
V0006,2024Q3,62.4,58.8,7.82
