vendor_id,quarter,category,country,region,tier,annual_spend_usd,single_source_flag,concentration_risk_flag,on_time_delivery_rate,avg_defect_rate,avg_cost_variance_pct,delay_days_std,disruption_severity_score,credit_health_score,otd_risk,quality_risk,cost_risk,leadtime_risk,disruption_risk,financial_risk,composite_risk_score,risk_tier,high_risk_next_quarter
V0001,2022Q2,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,False,0.0,0.0,0.01,0.0,0.0,81.3,100.0,5.49,3.32,0.0,0.0,1.98,26.79,Low,1.0
V0001,2022Q3,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,False,0.5,0.0,-0.01,6.4,0.0,81.4,50.0,0.0,6.93,31.3,0.0,1.79,18.41,Low,0.0
V0001,2023Q1,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,False,1.0,0.0,-0.01,0.96,0.0,81.3,0.0,4.48,4.75,4.68,0.0,1.98,2.51,Low,0.0
V0001,2023Q2,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,False,1.0,0.0,0.0,0.41,0.0,81.2,0.0,4.37,0.82,2.0,0.0,2.18,1.51,Low,0.0
V0001,2023Q3,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,False,1.0,0.0,0.01,0.5,0.0,81.1,0.0,3.3,3.97,2.45,0.0,2.38,1.86,Low,1.0
V0001,2023Q4,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,False,0.5,0.0,-0.0,9.19,0.0,81.0,50.0,5.15,2.34,44.98,0.0,2.58,20.89,Low,0.0
V0001,2024Q1,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,False,1.0,0.0,0.01,0.0,0.0,80.6,0.0,0.0,3.85,0.0,0.0,3.37,0.92,Low,0.0
V0001,2024Q2,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,False,0.75,0.0,-0.01,3.37,0.0,80.3,25.0,2.77,7.6,16.47,0.0,3.97,10.81,Low,0.0
V0001,2024Q3,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,False,1.0,0.01,-0.01,0.71,0.0,80.5,0.0,5.94,7.77,3.46,0.0,3.57,3.23,Low,0.0
V0001,2025Q1,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,False,1.0,0.0,-0.02,0.0,0.0,80.2,0.0,0.0,10.34,0.0,0.0,4.17,1.97,Low,0.0
V0001,2025Q2,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,False,1.0,0.0,-0.03,1.15,0.0,79.5,0.0,4.07,17.11,5.65,0.0,5.56,4.78,Low,0.0
V0001,2025Q3,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,False,1.0,0.0,-0.01,0.0,0.0,79.9,0.0,0.0,4.32,0.0,0.0,4.76,1.12,Low,1.0
V0001,2025Q4,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,False,0.0,0.01,0.03,0.0,0.0,79.8,100.0,6.05,15.08,0.0,0.0,4.96,28.97,Low,0.0
V0001,2026Q1,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,False,1.0,0.0,-0.03,0.0,0.0,80.0,0.0,0.0,15.13,0.0,0.0,4.56,2.73,Low,0.0
V0001,2026Q2,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,False,1.0,0.0,-0.01,1.15,0.0,80.5,0.0,3.81,4.31,5.65,0.0,3.57,2.61,Low,
V0002,2022Q2,Displays,Mexico,AMER,Tier 3,27800.0,False,False,1.0,0.02,0.06,0.0,0.0,72.5,0.0,19.04,35.01,0.0,0.0,19.44,11.0,Low,0.0
V0002,2022Q3,Displays,Mexico,AMER,Tier 3,27800.0,False,False,1.0,0.01,-0.03,0.5,0.0,72.3,0.0,11.27,15.67,2.45,0.0,19.84,6.96,Low,0.0
