vendor_id,vendor_name,category,country,region,tier,onboarding_date,annual_spend_usd,certifications,single_source_flag
V0001,PCB-SOU-1,PCB / PCBA,South Korea,APAC,Tier 3,2021-08-28,247500.0,ISO9001,False
V0002,DISP-MEX-2,Displays,Mexico,AMER,Tier 3,2021-07-16,27800.0,"IATF16949, ISO14001, ISO9001, REACH",False
V0003,PCB-CHI-3,PCB / PCBA,China,APAC,Tier 2,2019-07-10,1239600.0,"REACH, RoHS",False
V0004,SEMI-TAI-4,Semiconductors,Taiwan,APAC,Tier 2,2019-10-31,1129700.0,"ISO9001, REACH, RoHS",True
V0005,CONN-JAP-5,Connectors,Japan,APAC,Tier 1,2021-01-13,4216800.0,None,False
V0006,SEMI-CZE-6,Semiconductors,Czech Republic,EMEA,Tier 2,2018-06-28,1494800.0,"ISO14001, REACH",True
V0007,ENCL-TAI-7,Enclosures / Metal,Taiwan,APAC,Tier 3,2019-04-18,271800.0,"ISO14001, RoHS",False
V0008,DISP-CHI-8,Displays,China,APAC,Tier 3,2021-11-15,377000.0,"IATF16949, ISO14001, ISO9001, RoHS",False
V0009,BATT-TAI-9,Batteries,Taiwan,APAC,Tier 2,2018-03-24,920500.0,"IATF16949, ISO14001",False
V0010,CONN-SOU-10,Connectors,South Korea,APAC,Tier 2,2020-09-17,625500.0,"IATF16949, ISO9001, RoHS",True
V0011,ENCL-POL-11,Enclosures / Metal,Poland,EMEA,Tier 2,2018-01-11,1704700.0,"IATF16949, ISO14001, ISO9001",False
V0012,DISP-TAI-12,Displays,Taiwan,APAC,Tier 2,2018-07-31,1781000.0,"IATF16949, ISO9001, RoHS",True
V0013,PCB-SOU-13,PCB / PCBA,South Korea,APAC,Tier 2,2021-08-24,1420100.0,"IATF16949, ISO14001, ISO9001, RoHS",False
V0014,BATT-GER-14,Batteries,Germany,EMEA,Tier 3,2020-10-21,313000.0,"ISO14001, REACH",False
V0015,PCB-TAI-15,PCB / PCBA,Taiwan,APAC,Tier 1,2018-02-27,10273300.0,"ISO14001, ISO9001",False
V0016,DISP-CHI-16,Displays,China,APAC,Tier 2,2021-10-10,766100.0,None,True
V0017,PCB-UNI-17,PCB / PCBA,United States,AMER,Tier 3,2021-03-01,351200.0,"ISO14001, ISO9001, REACH",False
V0018,DISP-MAL-18,Displays,Malaysia,APAC,Tier 3,2022-06-24,140800.0,RoHS,True
V0019,BATT-CZE-19,Batteries,Czech Republic,EMEA,Tier 3,2018-01-13,214100.0,"IATF16949, ISO14001",False
V0020,BATT-SOU-20,Batteries,South Korea,APAC,Tier 3,2019-08-13,217100.0,"IATF16949, ISO14001, RoHS",False
V0021,PCB-BRA-21,PCB / PCBA,Brazil,AMER,Tier 2,2020-06-26,881400.0,REACH,True
V0022,PASS-MAL-22,Passive Components,Malaysia,APAC,Tier 1,2019-05-24,13807500.0,REACH,False
V0023,CONN-BRA-23,Connectors,Brazil,AMER,Tier 2,2021-05-11,1618600.0,ISO14001,False
V0024,PACK-IND-24,Packaging,India,APAC,Tier 3,2020-09-04,54300.0,"IATF16949, REACH, RoHS",False
V0025,CONN-TAI-25,Connectors,Taiwan,APAC,Tier 3,2021-05-21,26300.0,"IATF16949, ISO9001",False
V0026,CONN-CHI-26,Connectors,China,APAC,Tier 3,2019-12-07,376000.0,ISO9001,False
V0027,BATT-UNI-27,Batteries,United States,AMER,Tier 3,2019-04-16,270800.0,"IATF16949, ISO9001, RoHS",False
V0028,CONN-CHI-28,Connectors,China,APAC,Tier 1,2022-06-26,13705400.0,"IATF16949, ISO9001, REACH",False
V0029,PACK-GER-29,Packaging,Germany,EMEA,Tier 3,2022-06-07,316400.0,"ISO9001, REACH, RoHS",True
V0030,DISP-MEX-30,Displays,Mexico,AMER,Tier 3,2018-01-17,58600.0,"IATF16949, ISO14001, REACH",True
V0031,DISP-MAL-31,Displays,Malaysia,APAC,Tier 3,2021-04-04,105200.0,"IATF16949, REACH, RoHS",True
V0032,ENCL-GER-32,Enclosures / Metal,Germany,EMEA,Tier 3,2022-03-30,269900.0,"IATF16949, ISO14001",True
V0033,PASS-CHI-33,Passive Components,China,APAC,Tier 2,2022-11-11,1029000.0,"IATF16949, ISO9001, REACH, RoHS",False
V0034,PCB-MAL-34,PCB / PCBA,Malaysia,APAC,Tier 3,2020-06-17,94200.0,"IATF16949, ISO14001, REACH",False
V0035,ENCL-IND-35,Enclosures / Metal,India,APAC,Tier 2,2022-09-13,1926300.0,"IATF16949, ISO14001, ISO9001, REACH",False
V0036,PACK-UNI-36,Packaging,United States,AMER,Tier 2,2022-10-31,1941800.0,"IATF16949, ISO9001, REACH, RoHS",False
V0037,PCB-MEX-37,PCB / PCBA,Mexico,AMER,Tier 2,2018-11-06,1290900.0,"IATF16949, ISO14001, REACH, RoHS",False
V0038,PCB-TAI-38,PCB / PCBA,Taiwan,APAC,Tier 3,2022-12-12,73200.0,"IATF16949, RoHS",False
V0039,PASS-THA-39,Passive Components,Thailand,APAC,Tier 3,2019-10-19,131600.0,"IATF16949, ISO9001, RoHS",False
V0040,DISP-UNI-40,Displays,United States,AMER,Tier 3,2020-07-04,323400.0,"IATF16949, ISO14001, REACH",False
V0041,PCB-MEX-41,PCB / PCBA,Mexico,AMER,Tier 2,2019-11-17,550400.0,"IATF16949, ISO14001",True
V0042,PASS-MAL-42,Passive Components,Malaysia,APAC,Tier 2,2020-12-14,448800.0,None,False
V0043,BATT-TAI-43,Batteries,Taiwan,APAC,Tier 3,2021-11-06,102000.0,"IATF16949, ISO14001, ISO9001",True
V0044,BATT-MAL-44,Batteries,Malaysia,APAC,Tier 3,2021-03-09,295900.0,"ISO14001, ISO9001, REACH, RoHS",False
V0045,DISP-POL-45,Displays,Poland,EMEA,Tier 2,2020-03-12,525500.0,None,False
V0046,CONN-THA-46,Connectors,Thailand,APAC,Tier 2,2018-11-13,650300.0,ISO9001,False
V0047,CONN-THA-47,Connectors,Thailand,APAC,Tier 2,2022-10-09,1580600.0,"ISO9001, REACH",False
V0048,PCB-CHI-48,PCB / PCBA,China,APAC,Tier 2,2021-10-15,423000.0,RoHS,True
V0049,PCB-MEX-49,PCB / PCBA,Mexico,AMER,Tier 3,2020-05-15,57200.0,"ISO14001, REACH",False
