feature,importance
price_volatility,0.10900294440974911
credit_health_score,0.10530749537437245
credit_health_score_trail2q,0.10421802484338452
avg_defect_rate_trail2q,0.10416036260924506
dpo,0.08768724071164477
avg_defect_rate,0.06237630688180389
cost_variance_std,0.06210874824289534
avg_cost_variance_pct,0.040055918573436225
avg_cost_variance_pct_trail2q,0.03842004701460667
annual_spend_usd,0.03666329723163459
avg_delay_days,0.03498692960736285
delay_days_std,0.03371973300637843
lot_rejection_rate,0.032394971693009
avg_fill_rate,0.028015311711314727
avg_corrective_action_days,0.023246027303891973
on_time_delivery_rate_trail2q,0.021152868376814245
on_time_delivery_rate,0.019950680485891985
tier_Tier 3,0.011431479562971521
expedited_rate,0.009341096983101533
tier_Tier 2,0.005427833946596345
category_Passive Components,0.004078908744308125
region_APAC,0.003913636799262306
category_PCB / PCBA,0.003051005277301488
region_EMEA,0.002789212156758782
category_Connectors,0.0026660954788235874
category_Displays,0.0026490407375021783
region_AMER,0.002258238922475257
category_Enclosures / Metal,0.00218511908646604
tier_Tier 1,0.002141025980456512
category_Packaging,0.0016295792025725845
category_Batteries,0.0011079329475700821
category_Semiconductors,0.001079184310521255
disruption_severity_score_trail2q,0.0005549139135486048
disruption_severity_score,0.00011783971384419896
disruption_event_count,0.00011094815848384346
